basin_name,wikipedia_link
Tsiribihina,https://en.wikipedia.org/wiki/Tsiribihina_River
Buzi,https://en.wikipedia.org/wiki/Buzi_River
Loa,https://en.wikipedia.org/wiki/Loa_River
Limpopo,https://en.wikipedia.org/wiki/Limpopo_River
De Grey,https://en.wikipedia.org/wiki/De_Grey_River
Paraiba Do Sul,https://en.wikipedia.org/wiki/Para%C3%ADba_do_Sul_River
Fortescue,https://en.wikipedia.org/wiki/Fortescue_River
Mangoky,https://en.wikipedia.org/wiki/Mangoky_River
Fitzroy,https://en.wikipedia.org/wiki/Fitzroy_River_(Queensland)
Orange,https://en.wikipedia.org/wiki/Orange_River
Ashburton,https://en.wikipedia.org/wiki/Ashburton_River_(Western_Australia)
Gascoyne,https://en.wikipedia.org/wiki/Gascoyne_River
Rio Ribeira Do Iguape,https://en.wikipedia.org/wiki/Ribeira_de_Iguape_River
Incomati,https://en.wikipedia.org/wiki/Incomati_River
Murray,https://en.wikipedia.org/wiki/Murray_River
Murchison,https://en.wikipedia.org/wiki/Murchison_River_(Western_Australia)
Maputo,https://en.wikipedia.org/wiki/Maputo_River
Uruguay,https://en.wikipedia.org/wiki/Uruguay_River
Tugela,https://en.wikipedia.org/wiki/Tugela_River
Colorado (Argentinia),https://en.wikipedia.org/wiki/Colorado_River_(Argentina)
Rio Jacui,https://en.wikipedia.org/wiki/Jacu%C3%AD_River
Huasco,https://en.wikipedia.org/wiki/Huasco_River
Limari,https://en.wikipedia.org/wiki/Limar%C3%AD_River
Negro (Uruguay),https://en.wikipedia.org/wiki/Negro_River_(Uruguay)
Groot-Vis,https://en.wikipedia.org/wiki/Great_Fish_River
Salado,https://en.wikipedia.org/wiki/Salado_River_(Buenos_Aires)
Blackwood,https://en.wikipedia.org/wiki/Blackwood_River
Rapel,https://en.wikipedia.org/wiki/Rapel_River
Negro (Argentinia),https://en.wikipedia.org/wiki/Negro_River_(Argentina)
Biobio,https://en.wikipedia.org/wiki/B%C3%ADoB%C3%ADo_River
Waikato,https://en.wikipedia.org/wiki/Waikato_River
South Esk,https://en.wikipedia.org/wiki/South_Esk_River
Chubut,https://en.wikipedia.org/wiki/Chubut_River
Clutha,https://en.wikipedia.org/wiki/Clutha_River
Baker,https://en.wikipedia.org/wiki/Baker_River_(Chile)
Santa Cruz,https://en.wikipedia.org/wiki/Santa_Cruz_River_(Argentina)
Ganges,https://en.wikipedia.org/wiki/Ganges
Salween,https://en.wikipedia.org/wiki/Salween_River
Hong(Red River),https://en.wikipedia.org/wiki/Red_River_(Asia)
Lake Chad,https://en.wikipedia.org/wiki/Lake_Chad
Okavango,https://en.wikipedia.org/wiki/Okavango_River
Tarim,https://en.wikipedia.org/wiki/Tarim_River
Horton,https://en.wikipedia.org/wiki/Horton_River
Hornaday,https://en.wikipedia.org/wiki/Hornaday_River
Conception,https://en.wikipedia.org/wiki/Concepci%C3%B3n_River
Ulua,https://en.wikipedia.org/wiki/Ul%C3%BAa_River
Patacua,https://en.wikipedia.org/wiki/Patuca_River
Coco,https://en.wikipedia.org/wiki/Coco_River
Ocona,https://en.wikipedia.org/wiki/Oco%C3%B1a_River
Cuanza,https://en.wikipedia.org/wiki/Cuanza_River
Cunene,https://en.wikipedia.org/wiki/Cunene_River
Doring,https://en.wikipedia.org/wiki/Doring_River
Gamka,https://en.wikipedia.org/wiki/Gamka_River
Groot- Kei,https://en.wikipedia.org/wiki/Great_Kei_River
Lurio,https://en.wikipedia.org/wiki/L%C3%BArio_River
Messalo,https://en.wikipedia.org/wiki/Messalo_River
Rovuma,https://en.wikipedia.org/wiki/Ruvuma_River
Galana,https://en.wikipedia.org/wiki/Galana_River
Pyasina,https://en.wikipedia.org/wiki/Pyasina_River
Popigay,https://en.wikipedia.org/wiki/Popigay_River
Fuchun Jiang,https://en.wikipedia.org/wiki/Fuchun_River
Min Jiang,https://en.wikipedia.org/wiki/Min_River_(Fujian)
Han Jiang,https://en.wikipedia.org/wiki/Han_River_(Guangdong)
Mamberamo,https://en.wikipedia.org/wiki/Mamberamo_River
Lorentz,https://en.wikipedia.org/wiki/Lorentz_River
Eilanden,https://en.wikipedia.org/wiki/Eilanden_River
Uwimbu,https://en.wikipedia.org/wiki/Uwimbu_River
Sungai Kajan,https://en.wikipedia.org/wiki/Kayan_River_(Kalimantan)
Sungai Mahakam,https://en.wikipedia.org/wiki/Mahakam_River
Sungai Kapuas,https://en.wikipedia.org/wiki/Kapuas_River
Batang Kuantan,https://en.wikipedia.org/wiki/Kuantan_River
Batang Hari,https://en.wikipedia.org/wiki/Batang_Hari_River
Flinders,https://en.wikipedia.org/wiki/Flinders_River
Leichhardt,https://en.wikipedia.org/wiki/Leichhardt_River
Escaut (Schelde),https://en.wikipedia.org/wiki/Scheldt
Issyk-Kul,https://en.wikipedia.org/wiki/Issyk-Kul
Balkhash,https://en.wikipedia.org/wiki/Lake_Balkhash
Eyre Lake,https://en.wikipedia.org/wiki/Lake_Eyre
Lake Mar Chiquita,https://en.wikipedia.org/wiki/Mar_Chiquita_Lake
Lake Turkana,https://en.wikipedia.org/wiki/Lake_Turkana
Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea
Suriname,https://en.wikipedia.org/wiki/Suriname_River
Lake Titicaca,https://en.wikipedia.org/wiki/Lake_Titicaca
Lake Vattern,https://en.wikipedia.org/wiki/V%C3%A4ttern
Great Salt Lake,https://en.wikipedia.org/wiki/Great_Salt_Lake
Lake Taymur,https://en.wikipedia.org/wiki/Lake_Taymyr
Daryacheh-Ye Orumieh,https://en.wikipedia.org/wiki/Lake_Urmia
Van Golu,https://en.wikipedia.org/wiki/Lake_Van
Ozero Sevan,https://en.wikipedia.org/wiki/Lake_Sevan
